date,n_expected_hours,n_rows,valid_hours,coverage_fraction,quality_class,eligible_ge_12,eligible_ge_17,eligible_ge_18,eligible_ge_22,oxygen_mean_mgL,oxygen_median_mgL,oxygen_std_mgL,oxygen_min_mgL,oxygen_max_mgL,oxygen_q10_mgL,oxygen_q25_mgL,oxygen_q75_mgL,oxygen_q90_mgL,raw_prom_non_na_count,raw_prom_na_count,negative_oxygen_count,zero_oxygen_count,invalid_oxygen_count,first_valid_hour,last_valid_hour,longest_invalid_run_hours,source_variable,unit,timezone_status
2015-08-19,24,24,24,1.0,high,True,True,True,True,8.30775,8.328,0.13554760113669695,8.033,8.537,8.121699999999999,8.23375,8.378250000000001,8.4864,24,0,0,0,0,0.0,23.0,0,BTGOXD2,mg/L,reported_gmt_minus_4_unconverted
2015-08-20,24,24,24,1.0,high,True,True,True,True,8.080666666666666,8.0605,0.14969001786784386,7.753,8.335,7.9235999999999995,7.99075,8.20425,8.2799,24,0,0,0,0,0.0,23.0,0,BTGOXD2,mg/L,reported_gmt_minus_4_unconverted
2015-08-21,24,24,24,1.0,high,True,True,True,True,8.107375,8.082,0.12295379566961423,7.933,8.364,7.9629,8.0495,8.1255,8.3213,24,0,0,0,0,0.0,23.0,0,BTGOXD2,mg/L,reported_gmt_minus_4_unconverted
2015-08-22,24,24,24,1.0,high,True,True,True,True,8.117791666666667,8.132,0.19735864047721485,7.641,8.409,7.8775,8.02,8.287500000000001,8.3385,24,0,0,0,0,0.0,23.0,0,BTGOXD2,mg/L,reported_gmt_minus_4_unconverted
2015-08-23,24,24,24,1.0,high,True,True,True,True,8.396333333333333,8.283999999999999,0.7448193633747522,7.153,9.755,7.6327,7.79975,8.833,9.5686,24,0,0,0,0,0.0,23.0,0,BTGOXD2,mg/L,reported_gmt_minus_4_unconverted
2015-08-24,24,24,24,1.0,high,True,True,True,True,9.086708333333332,9.4495,0.8331293797519069,7.535,10.195,7.8327,8.52,9.715,9.8597,24,0,0,0,0,0.0,23.0,0,BTGOXD2,mg/L,reported_gmt_minus_4_unconverted
2015-08-25,24,24,24,1.0,high,True,True,True,True,8.727916666666665,8.7595,0.5466359504449377,7.772,9.584,7.8841,8.508500000000002,9.10325,9.3605,24,0,0,0,0,0.0,23.0,0,BTGOXD2,mg/L,reported_gmt_minus_4_unconverted
2015-08-26,24,24,24,1.0,high,True,True,True,True,8.376458333333332,8.5075,0.678182608419236,7.109,9.52,7.5335,7.8655,8.86125,9.2096,24,0,0,0,0,0.0,23.0,0,BTGOXD2,mg/L,reported_gmt_minus_4_unconverted
2015-08-27,24,24,24,1.0,high,True,True,True,True,8.558333333333334,8.6055,0.7691224624979045,7.133,9.703,7.5463000000000005,7.982749999999999,9.15,9.5084,24,0,0,0,0,0.0,23.0,0,BTGOXD2,mg/L,reported_gmt_minus_4_unconverted
2015-08-28,24,24,24,1.0,high,True,True,True,True,9.443916666666667,9.681000000000001,1.0282790146084173,7.348,10.967,8.2198,8.5485,10.02275,10.7608,24,0,0,0,0,0.0,23.0,0,BTGOXD2,mg/L,reported_gmt_minus_4_unconverted
2015-08-29,24,24,24,1.0,high,True,True,True,True,10.167250000000001,10.844999999999999,1.363297799933803,7.613,11.675,8.0213,8.8895,11.12125,11.429,24,0,0,0,0,0.0,23.0,0,BTGOXD2,mg/L,reported_gmt_minus_4_unconverted
2015-08-30,24,24,24,1.0,high,True,True,True,True,10.569041666666665,10.9505,1.0484960442033842,8.235,11.702,9.1015,9.94775,11.38075,11.6161,24,0,0,0,0,0.0,23.0,0,BTGOXD2,mg/L,reported_gmt_minus_4_unconverted
2015-08-31,24,24,24,1.0,high,True,True,True,True,11.125958333333335,11.163499999999999,0.35418460909367677,10.482,11.675,10.6272,10.875,11.3925,11.533,24,0,0,0,0,0.0,23.0,0,BTGOXD2,mg/L,reported_gmt_minus_4_unconverted
2015-09-01,24,24,24,1.0,high,True,True,True,True,10.223041666666667,10.350000000000001,0.3225975388955242,9.276,10.532,9.9238,10.05425,10.44075,10.4946,24,0,0,0,0,0.0,23.0,0,BTGOXD2,mg/L,reported_gmt_minus_4_unconverted
2015-09-02,24,24,24,1.0,high,True,True,True,True,10.209625,10.184000000000001,0.39892244124696075,9.551,10.677,9.673499999999999,9.91225,10.6425,10.6707,24,0,0,0,0,0.0,23.0,0,BTGOXD2,mg/L,reported_gmt_minus_4_unconverted
2015-09-03,24,24,24,1.0,high,True,True,True,True,10.307833333333335,10.443999999999999,0.2912571949723962,9.568,10.588,9.8744,10.144,10.52425,10.5624,24,0,0,0,0,0.0,23.0,0,BTGOXD2,mg/L,reported_gmt_minus_4_unconverted
2015-09-04,24,24,20,0.833333,standard,True,True,True,False,9.9434,10.100999999999999,0.4027755545814827,8.528,10.273,9.5229,9.911249999999999,10.1505,10.2014,20,4,0,0,0,0.0,23.0,4,BTGOXD2,mg/L,reported_gmt_minus_4_unconverted
2015-09-05,24,24,24,1.0,high,True,True,True,True,9.540333333333333,9.591000000000001,0.22890147238052225,8.877,9.821,9.316,9.4545,9.694749999999999,9.7398,24,0,0,0,0,0.0,23.0,0,BTGOXD2,mg/L,reported_gmt_minus_4_unconverted
2015-09-06,24,24,24,1.0,high,True,True,True,True,9.649125,9.6175,0.11463754317128336,9.399,9.864,9.5392,9.584,9.747,9.798399999999999,24,0,0,0,0,0.0,23.0,0,BTGOXD2,mg/L,reported_gmt_minus_4_unconverted
2015-09-07,24,24,24,1.0,high,True,True,True,True,9.332666666666666,9.359,0.15456015197880138,9.075,9.565,9.134,9.19375,9.48175,9.5085,24,0,0,0,0,0.0,23.0,0,BTGOXD2,mg/L,reported_gmt_minus_4_unconverted
2015-09-08,24,24,24,1.0,high,True,True,True,True,9.033541666666666,9.267,0.41898521081782597,8.301,9.453,8.3933,8.6035,9.3675,9.3927,24,0,0,0,0,0.0,23.0,0,BTGOXD2,mg/L,reported_gmt_minus_4_unconverted
2015-09-09,24,24,24,1.0,high,True,True,True,True,8.341041666666667,8.373,0.3193589338396351,7.609,8.81,8.030800000000001,8.172500000000001,8.565,8.7521,24,0,0,0,0,0.0,23.0,0,BTGOXD2,mg/L,reported_gmt_minus_4_unconverted
2015-09-10,24,24,24,1.0,high,True,True,True,True,8.173083333333333,8.163499999999999,0.1796097016520437,7.824,8.559,7.9567000000000005,8.06025,8.27625,8.3889,24,0,0,0,0,0.0,23.0,0,BTGOXD2,mg/L,reported_gmt_minus_4_unconverted
2015-09-11,24,24,24,1.0,high,True,True,True,True,7.068041666666666,6.9725,0.6525218956290757,6.135,8.513,6.2360999999999995,6.647,7.3405000000000005,8.081199999999999,24,0,0,0,0,0.0,23.0,0,BTGOXD2,mg/L,reported_gmt_minus_4_unconverted
2015-09-12,24,24,24,1.0,high,True,True,True,True,6.626625000000001,6.5440000000000005,0.5571105434370236,5.667,7.772,6.0129,6.18775,7.083500000000001,7.2961,24,0,0,0,0,0.0,23.0,0,BTGOXD2,mg/L,reported_gmt_minus_4_unconverted
2015-09-13,24,24,24,1.0,high,True,True,True,True,8.118958333333333,7.9465,0.8586548367203136,6.487,9.356,7.1829,7.447,8.8615,9.259599999999999,24,0,0,0,0,0.0,23.0,0,BTGOXD2,mg/L,reported_gmt_minus_4_unconverted
2015-09-14,24,24,14,0.583333,partial,True,False,False,False,10.127928571428571,10.068999999999999,0.3426378362253457,9.311,10.595,9.8886,9.932,10.39775,10.5161,14,10,0,0,0,0.0,23.0,10,BTGOXD2,mg/L,reported_gmt_minus_4_unconverted
2015-09-15,24,24,24,1.0,high,True,True,True,True,9.398916666666667,9.4335,0.7581920094464236,7.697,11.202,8.4082,9.005749999999999,9.83425,10.1487,24,0,0,0,0,0.0,23.0,0,BTGOXD2,mg/L,reported_gmt_minus_4_unconverted
2015-09-16,24,24,24,1.0,high,True,True,True,True,8.469458333333334,8.481,1.3237475780383203,6.297,10.969,6.8077000000000005,7.362,9.454,10.0998,24,0,0,0,0,0.0,23.0,0,BTGOXD2,mg/L,reported_gmt_minus_4_unconverted
2015-09-17,24,24,24,1.0,high,True,True,True,True,6.856875,6.574,1.183693237011949,5.329,10.012,5.6783,6.0255,7.5409999999999995,8.1432,24,0,0,0,0,0.0,23.0,0,BTGOXD2,mg/L,reported_gmt_minus_4_unconverted
2015-09-18,24,24,24,1.0,high,True,True,True,True,5.44875,5.2785,0.9453029995031039,4.386,7.399,4.4877,4.6695,6.0127500000000005,6.8531,24,0,0,0,0,0.0,23.0,0,BTGOXD2,mg/L,reported_gmt_minus_4_unconverted
2015-09-19,24,24,24,1.0,high,True,True,True,True,4.700166666666667,4.577,0.7711509561048662,3.638,6.662,3.9201,4.1035,4.99075,5.6674,24,0,0,0,0,0.0,23.0,0,BTGOXD2,mg/L,reported_gmt_minus_4_unconverted
2015-09-20,24,24,24,1.0,high,True,True,True,True,5.2664583333333335,5.3740000000000006,0.9482851331960127,3.591,6.731,3.8057,4.79175,5.92475,6.4655,24,0,0,0,0,0.0,23.0,0,BTGOXD2,mg/L,reported_gmt_minus_4_unconverted
2015-09-21,24,24,24,1.0,high,True,True,True,True,5.855,5.824,1.6383957423942643,2.848,9.085,4.1837,4.784000000000001,6.52275,8.3036,24,0,0,0,0,0.0,23.0,0,BTGOXD2,mg/L,reported_gmt_minus_4_unconverted
2015-09-22,24,24,24,1.0,high,True,True,True,True,7.185583333333334,6.5515,2.072086449360448,4.834,11.31,5.2787,5.65725,7.61425,10.8386,24,0,0,0,0,0.0,23.0,0,BTGOXD2,mg/L,reported_gmt_minus_4_unconverted
2015-09-23,24,24,24,1.0,high,True,True,True,True,7.796375,7.890000000000001,1.3417750350059496,5.187,10.221,5.5258,7.23025,8.508,9.3305,24,0,0,0,0,0.0,23.0,0,BTGOXD2,mg/L,reported_gmt_minus_4_unconverted
